temp,rain_1h,snow_1h,clouds_all,weather_main,date_time,traffic_volume,high_traffic
288.28,0.0,0.0,40,Clouds,2/10/2012 9:00,5545,1
289.36,0.0,0.0,75,Clouds,2/10/2012 10:00,4516,0
289.58,0.0,0.0,90,Clouds,2/10/2012 11:00,4767,0
290.13,0.0,0.0,90,Clouds,2/10/2012 12:00,5026,1
291.14,0.0,0.0,75,Clouds,2/10/2012 13:00,4918,0
291.72,0.0,0.0,1,Clear,2/10/2012 14:00,5181,1
293.17,0.0,0.0,1,Clear,2/10/2012 15:00,5584,1
293.86,0.0,0.0,1,Clear,2/10/2012 16:00,6015,1
294.14,0.0,0.0,20,Clouds,2/10/2012 17:00,5791,1
293.1,0.0,0.0,20,Clouds,2/10/2012 18:00,4770,0
290.97,0.0,0.0,20,Clouds,2/10/2012 19:00,3539,0
289.38,0.0,0.0,1,Clear,2/10/2012 20:00,2784,0
288.61,0.0,0.0,1,Clear,2/10/2012 21:00,2361,0
287.16,0.0,0.0,1,Clear,2/10/2012 22:00,1529,0
285.45,0.0,0.0,1,Clear,2/10/2012 23:00,963,0
284.63,0.0,0.0,1,Clear,3/10/2012 0:00,506,0
283.47,0.0,0.0,1,Clear,3/10/2012 1:00,321,0
281.18,0.0,0.0,1,Clear,3/10/2012 2:00,273,0
281.09,0.0,0.0,1,Clear,3/10/2012 3:00,367,0
279.53,0.0,0.0,1,Clear,3/10/2012 4:00,814,0
278.62,0.0,0.0,1,Clear,3/10/2012 5:00,2718,0
278.23,0.0,0.0,1,Clear,3/10/2012 6:00,5673,1
278.12,0.0,0.0,1,Clear,3/10/2012 8:00,6511,1
282.48,0.0,0.0,1,Clear,3/10/2012 9:00,5471,1
291.97,0.0,0.0,1,Clear,3/10/2012 12:00,5097,1
293.23,0.0,0.0,1,Clear,3/10/2012 13:00,4887,0
294.31,0.0,0.0,1,Clear,3/10/2012 14:00,5337,1
295.17,0.0,0.0,1,Clear,3/10/2012 15:00,5692,1
295.13,0.0,0.0,1,Clear,3/10/2012 16:00,6137,1
293.66,0.0,0.0,20,Clouds,3/10/2012 18:00,4623,0
290.65,0.0,0.0,20,Clouds,3/10/2012 19:00,3591,0
288.19,0.0,0.0,20,Clouds,3/10/2012 20:00,2898,0
287.1,0.0,0.0,1,Clear,3/10/2012 21:00,2637,0
286.25,0.0,0.0,1,Clear,3/10/2012 22:00,1777,0
285.26,0.0,0.0,1,Clear,3/10/2012 23:00,1015,0
284.55,0.0,0.0,1,Clear,4/10/2012 0:00,598,0
283.47,0.0,0.0,1,Clear,4/10/2012 1:00,369,0
283.17,0.0,0.0,1,Clear,4/10/2012 2:00,312,0
282.04,0.0,0.0,1,Clear,4/10/2012 3:00,367,0
281.69,0.0,0.0,1,Clear,4/10/2012 4:00,835,0
281.32,0.0,0.0,1,Clear,4/10/2012 5:00,2726,0
280.74,0.0,0.0,1,Clear,4/10/2012 6:00,5689,1
280.57,0.0,0.0,1,Clear,4/10/2012 7:00,6990,1
281.86,0.0,0.0,1,Clear,4/10/2012 8:00,5985,1
284.98,0.0,0.0,1,Clear,4/10/2012 9:00,5309,1
